Gene ID	Gene Name	g2_g1.p-value	g2_g1.log2foldchange
AFUA_1G03140		0.0888645100399266	-1.3
AFUA_1G03150		0.958851398746	-0.1
AFUA_1G03160		NA	0.7
AFUA_1G03170		0.303307737282534	-0.8
AFUA_1G03175	AFUA_1G03175	NA	-0.1
AFUA_1G03180		NA	0
AFUA_1G03190		NA	0
AFUA_1G03200		NA	-1.2
AFUA_1G03210		NA	1.1
AFUA_1G03220		NA	0.1
AFUA_1G03230		NA	1
AFUA_1G03240		NA	1
AFUA_1G03250		NA	0.8
AFUA_1G03260		NA	0
AFUA_1G03270		NA	0.2
AFUA_1G03280		NA	-1.8
AFUA_1G03290		NA	-1.2
AFUA_1G03300		NA	-1.6
AFUA_1G03310		NA	-1.7
AFUA_1G03320		NA	-0.6
AFUA_1G03352		NA	0.4
AFUA_1G03360		NA	-0.1
AFUA_1G03370		NA	0.1
AFUA_1G03380		0.847997534912343	-0.2
AFUA_1G03390		0.0984066788593905	1.2
AFUA_1G03400		0.799369474353015	-0.2
AFUA_1G03410		0.723204279130458	-0.2
AFUA_1G03420		0.695839356844836	0.4
AFUA_1G03430		0.530064175026696	0.6
AFUA_1G03440		0.900672037156048	-0.1
AFUA_1G03450		0.473996029005148	-0.5
AFUA_1G03460		0.875094590355173	-0.2
AFUA_1G03470		NA	0.2
AFUA_1G03480		NA	-0.6
AFUA_1G03490		0.602836734950658	0.5
AFUA_1G03500		0.715122721750186	0.3
AFUA_1G03510		0.408028801956192	0.6
AFUA_1G03520		NA	-1.1
AFUA_1G03530		0.671478189491465	-0.3
AFUA_1G03540		0.971134360614297	0
AFUA_1G03550		NA	-0.4
AFUA_1G03560		0.723204279130458	-0.3
AFUA_1G03570		0.565136613464386	-0.7
AFUA_1G03580		0.116072682622975	-1.6
AFUA_1G03590		0.918961507943156	0.1
AFUA_1G03600		NA	0
AFUA_1G03610		NA	1.3
AFUA_1G03620		0.457114493737879	-0.6
AFUA_1G03630		NA	-0.3
AFUA_1G03640		0.480735143330991	0.7
AFUA_1G03650		0.306531594210411	0.6
AFUA_1G03660		NA	-0.5
AFUA_1G03670		NA	0.3
AFUA_1G03680		0.872679975816721	-0.2
AFUA_1G03690		0.791891313389918	-0.3
AFUA_1G03700		0.29304875675944	0.9
AFUA_1G03710		0.345879328892092	0.7
AFUA_1G03720		0.814651949748695	0.2
AFUA_1G03730		0.958680961485602	0.1
AFUA_1G03740		0.230958214656545	-0.7
AFUA_1G03750		NA	-0.5
AFUA_1G03760		0.223522073637888	1
AFUA_1G03770		NA	-0.4
AFUA_1G03780		NA	-0.9
AFUA_1G03790		0.890970770473542	-0.1
AFUA_1G03800		0.0828766059702779	1.5
AFUA_1G03810		NA	-0.6
AFUA_1G03820		0.45383553598934	0.6
AFUA_1G03830		0.309887245966872	0.7
AFUA_1G03840		0.277858897851762	-0.8
AFUA_1G03860		0.727559099970221	0.3
AFUA_1G03870		NA	-0.8
AFUA_1G03880		NA	0.1
AFUA_1G03890		0.875444804072217	0.2
AFUA_1G03910		0.189026037720004	1.2
AFUA_1G03920		0.844769461516256	0.2
AFUA_1G03930		0.105646851906342	1.2
AFUA_1G03940		0.370170160326831	0.6
AFUA_1G03950		0.323061719164733	0.8
AFUA_1G03960		0.543794385970362	-0.5
AFUA_1G03970		0.849038444081127	0.2
AFUA_1G03992		0.325258372759328	-0.6
AFUA_1G04010		NA	-0.9
AFUA_1G04020		0.676737772987432	0.3
AFUA_1G04040		0.316257037407048	0.8
AFUA_1G04062		0.974287056384331	0
AFUA_1G04070		0.0348694882259822	1.4
AFUA_1G04080		0.433477571044832	-0.5
AFUA_1G04090		NA	-0.2
AFUA_1G04100		0.716656118567579	-0.5
AFUA_1G04110		0.559240161115398	-0.5
AFUA_1G04120		0.569677757799459	0.5
AFUA_1G04130		NA	-0.3
AFUA_1G04140		NA	-1.3
AFUA_1G04150		NA	-0.9
AFUA_1G04160		0.386004450957874	-0.8
AFUA_1G04170		NA	-0.2
AFUA_1G04190		0.114437460323158	1.3
AFUA_1G04210		0.341362496692634	-0.8
AFUA_1G04220		NA	1.1
AFUA_1G04230		0.105646851906342	1.2
AFUA_1G04240		0.0501410890953928	1.4
AFUA_1G04250		NA	-0.5
AFUA_1G04260		0.0552695556088032	-1.4
AFUA_1G04270		0.786218662447089	-0.3
AFUA_1G04280		0.133027646099231	1.1
AFUA_1G04290		0.965494881179345	0
